"";"round.data.y.";"round.data.x.";"round.data.z."
"1";164;0;0
"2";159;3;0
"3";163;6;0
"4";146;8;0
"5";163;11;0
"6";141;12;0
"7";162;17;0
"8";140;17;0
"9";119;17;0
"10";121;19;0
"11";117;21;0
"12";122;24;0
"13";130;28;0
"14";121;28;0
"15";120;30;0
"16";124;33;0
"17";110;31;0
"18";126;39;0
"19";118;38;0
"20";136;47;0
"21";129;47;0
"22";148;57;0
"23";128;52;0
"24";143;61;0
"25";125;56;0
"26";127;59;0
"27";123;60;0
"28";106;54;0
"29";123;65;0
"30";118;65;0
"31";128;74;0
"32";116;70;0
"33";128;80;0
"34";119;77;0
"35";119;81;0
"36";117;82;0
"37";113;82;0
"38";113;85;0
"39";103;81;0
"40";110;89;0
"41";95;80;0
"42";97;84;0
"43";85;77;0
"44";80;74;0
"45";76;73;0
"46";71;71;0
"47";78;81;0
"48";65;69;0
"49";73;81;0
"50";60;69;0
"51";60;71;0
"52";55;68;0
"53";56;72;0
"54";56;74;0
"55";56;78;0
"56";56;79;0
"57";55;82;0
"58";59;91;0
"59";54;87;0
"60";58;96;0
"61";53;92;0
"62";56;101;0
"63";52;97;0
"64";52;102;0
"65";51;105;0
"66";52;111;0
"67";51;114;0
"68";65;154;0
"69";63;156;0
"70";59;154;0
"71";59;163;0
"72";57;165;0
"73";57;176;0
"74";54;176;0
"75";55;193;0
"76";52;192;0
"77";53;213;0
"78";45;197;0
"79";44;205;0
"80";38;197;0
"81";37;212;0
"82";31;197;0
"83";21;149;0
"84";17;141;0
"85";16;150;0
"86";12;138;0
"87";10;146;0
"88";7;136;0
"89";5;137;0
"90";2;132;0
"91";0;132;0
"92";-2;130;0
"93";-4;127;0
"94";-7;126;0
"95";-9;125;0
"96";-12;136;0
"97";-13;126;0
"98";-19;152;0
"99";-21;149;0
"100";-29;182;0
"101";-35;198;0
"102";-41;210;0
"103";-42;197;0
"104";-45;197;0
"105";-48;192;0
"106";-51;191;0
"107";-55;192;0
"108";-27;88;0
"109";-32;98;0
"110";-29;84;0
"111";-36;99;0
"112";-33;86;0
"113";-36;88;0
"114";-39;91;0
"115";-39;89;0
"116";-40;86;0
"117";-45;92;0
"118";-47;93;0
"119";-43;80;0
"120";-48;87;0
"121";-47;81;0
"122";-56;93;0
"123";-51;82;0
"124";-69;107;0
"125";-114;168;0
"126";-112;161;0
"127";-107;147;0
"128";-101;133;0
"129";-103;132;0
"130";-91;112;0
"131";-96;115;0
"132";-96;110;0
"133";-103;114;0
"134";-106;113;0
"135";-113;117;0
"136";-130;130;0
"137";-125;121;0
"138";-140;130;0
"139";-137;124;0
"140";-145;126;0
"141";-143;120;0
"142";-143;116;0
"143";-151;118;0
"144";-143;108;0
"145";-150;109;0
"146";-153;107;0
"147";-160;108;0
"148";-160;104;0
"149";-163;102;0
"150";-170;102;0
"151";-159;92;0
"152";-163;90;0
"153";-158;84;0
"154";-161;82;0
"155";-163;79;0
"156";-160;74;0
"157";-170;76;0
"158";-158;67;0
"159";-165;67;0
"160";-157;60;0
"161";-158;57;0
"162";-157;54;0
"163";-158;51;0
"164";-168;51;0
"165";-157;45;0
"166";-135;36;0
"167";-122;30;0
"168";-124;29;0
"169";-122;26;0
"170";-132;26;0
"171";-130;23;0
"172";-119;19;0
"173";-121;17;0
"174";-120;15;0
"175";-121;13;0
"176";-121;11;0
"177";-125;9;0
"178";-131;7;0
"179";-120;4;0
"180";-122;2;0
"181";-119;0;0
"182";149;0;3
"183";135;2;2
"184";179;6;3
"185";154;8;3
"186";138;10;2
"187";157;14;3
"188";134;14;2
"189";156;19;3
"190";130;18;2
"191";146;23;3
"192";131;23;2
"193";136;27;2
"194";129;27;2
"195";141;33;3
"196";128;32;2
"197";149;40;3
"198";116;33;2
"199";144;44;3
"200";117;38;2
"201";130;45;2
"202";132;48;2
"203";120;46;2
"204";121;49;2
"205";124;53;2
"206";136;61;3
"207";121;57;2
"208";117;57;2
"209";123;63;2
"210";136;72;3
"211";120;66;2
"212";131;75;3
"213";117;71;2
"214";137;85;3
"215";116;75;2
"216";115;78;2
"217";115;81;2
"218";107;78;2
"219";115;87;3
"220";97;76;2
"221";113;91;3
"222";87;73;2
"223";91;79;2
"224";78;70;2
"225";74;69;2
"226";73;71;2
"227";67;67;2
"228";78;81;2
"229";62;67;2
"230";76;85;2
"231";56;65;2
"232";70;83;2
"233";52;64;1
"234";50;65;1
"235";50;66;1
"236";51;70;2
"237";52;75;2
"238";49;72;2
"239";60;92;2
"240";48;77;2
"241";63;105;2
"242";48;83;2
"243";49;89;2
"244";49;92;2
"245";48;94;2
"246";49;101;2
"247";49;106;2
"248";61;137;3
"249";66;156;3
"250";60;147;3
"251";64;168;3
"252";56;153;3
"253";64;186;3
"254";53;164;3
"255";54;177;3
"256";51;179;3
"257";50;188;3
"258";48;193;3
"259";48;209;4
"260";39;183;3
"261";40;208;4
"262";34;190;3
"263";30;190;3
"264";23;165;3
"265";17;137;2
"266";14;130;2
"267";12;137;2
"268";9;130;2
"269";7;130;2
"270";4;127;2
"271";2;126;2
"272";0;123;2
"273";-2;124;2
"274";-4;127;2
"275";-6;121;2
"276";-11;153;3
"277";-11;122;2
"278";-16;154;3
"279";-17;136;2
"280";-22;154;3
"281";-29;186;3
"282";-37;212;4
"283";-37;191;3
"284";-41;192;3
"285";-44;191;3
"286";-37;148;3
"287";-39;147;3
"288";-39;136;2
"289";-50;163;3
"290";-44;135;2
"291";-48;138;3
"292";-49;133;2
"293";-44;115;2
"294";-49;121;2
"295";-48;114;2
"296";-63;141;3
"297";-54;116;2
"298";-58;120;2
"299";-60;118;2
"300";-65;122;2
"301";-72;129;3
"302";-95;165;3
"303";-108;180;4
"304";-105;168;3
"305";-111;171;4
"306";-112;167;4
"307";-112;160;3
"308";-119;163;4
"309";-112;149;3
"310";-126;161;4
"311";-104;128;3
"312";-107;127;3
"313";-105;121;3
"314";-109;121;3
"315";-119;128;3
"316";-121;125;3
"317";-130;130;3
"318";-122;118;3
"319";-129;121;3
"320";-134;120;3
